email,label,Subject,content
"b""From fork-admin@xent.com  Tue Sep 17 18:42:38 2002\nReturn-Path: <fork-admin@xent.com>\nDelivered-To: yyyy@localhost.example.com\nReceived: from localhost (jalapeno [127.0.0.1])\n\tby jmason.org (Postfix) with ESMTP id E307E16F03\n\tfor <jm@localhost>; Tue, 17 Sep 2002 18:42:37 +0100 (IST)\nReceived: from jalapeno [127.0.0.1]\n\tby localhost with IMAP (fetchmail-5.9.0)\n\tfor jm@localhost (single-drop); Tue, 17 Sep 2002 18:42:37 +0100 (IST)\nReceived: from xent.com ([64.161.22.236]) by dogma.slashnull.org\n    (8.11.6/8.11.6) with ESMTP id g8HHRaC20431 for <jm@jmason.org>;\n    Tue, 17 Sep 2002 18:27:37 +0100\nReceived: from lair.xent.com (localhost [127.0.0.1]) by xent.com (Postfix)\n    with ESMTP id 526962940ED; Tue, 17 Sep 2002 10:24:05 -0700 (PDT)\nDelivered-To: fork@example.com\nReceived: from argote.ch (argote.ch [80.65.224.17]) by xent.com (Postfix)\n    with ESMTP id C1FCC29409F for <fork@xent.com>; Tue, 17 Sep 2002 10:23:31\n    -0700 (PDT)\nReceived: by argote.ch (Postfix, from userid 500) id A1DBDC44D;\n    Tue, 17 Sep 2002 19:26:27 +0200 (CEST)\nTo: fork@example.com\nSubject: Re: Hanson's Sept 11 message in the National Review\nMessage-Id: <20020917172627.A1DBDC44D@argote.ch>\nFrom: harley@argote.ch (Robert Harley)\nSender: fork-admin@xent.com\nErrors-To: fork-admin@xent.com\nX-Beenthere: fork@example.com\nX-Mailman-Version: 2.0.11\nPrecedence: bulk\nList-Help: <mailto:fork-request@xent.com?subject=help>\nList-Post: <mailto:fork@example.com>\nList-Subscribe: <http://xent.com/mailman/listinfo/fork>, <mailto:fork-request@xent.com?subject=subscribe>\nList-Id: Friends of Rohit Khare <fork.xent.com>\nList-Unsubscribe: <http://xent.com/mailman/listinfo/fork>,\n    <mailto:fork-request@xent.com?subject=unsubscribe>\nList-Archive: <http://xent.com/pipermail/fork/>\nDate: Tue, 17 Sep 2002 19:26:27 +0200 (CEST)\nX-Spam-Status: No, hits=-4.0 required=7.0\n\ttests=AWL,EMAIL_ATTRIBUTION,KNOWN_MAILING_LIST,QUOTED_EMAIL_TEXT\n\tversion=2.50-cvs\nX-Spam-Level: \n\nChuck Murcko wrote:\n> > The usual crud.  Why do morons ranting and beating their chests in the\n> > National Review (or similar rags) merit FoRKing?\n> Probably because we have this pesky 1st Amendment thing here.  [...]\n\nIt must be so great in the US.  The rest of us live in caves and have\nno such thing as free speech.\n \nBTW, I wasn't aware that the 1st Amendment mandated that crap must be FoRKed.\n\n\n> You can just ignore it if you wish.\n\nI will, thanks.\n\n\n> But I must feel obligated to defend to the death your right to do so.\n\n\xabJe d\xe9sapprouve ce que vous dites, mais je d\xe9fendrai jusqu'\xe0 ma mort votre\ndroit de le dire\xbb\n- Arouet Le Jeune, dit \xabVoltaire\xbb (1694-1778).\n\n\nR\n\n\n""",0.0,hanson' sept number messag nation review,chuck murcko wrote usual crud moron rant beat chest nation review similar rag merit fork probabl peski numberst amend thing must great us rest us live cave haveno thing free speech btw awar numberst amend mandat crap must fork ignor wishi thank must feel oblig defend death right so�j d�sapprouv ce que vou dite mai je d�fendrai jusqu'� mort votredroit de le dire� arouet le jeun dit �voltaire� numberr
"b'From rssfeeds@jmason.org  Tue Sep 24 10:47:46 2002\nReturn-Path: <rssfeeds@example.com>\nDelivered-To: yyyy@localhost.example.com\nReceived: from localhost (jalapeno [127.0.0.1])\n\tby jmason.org (Postfix) with ESMTP id F086316F03\n\tfor <jm@localhost>; Tue, 24 Sep 2002 10:47:45 +0100 (IST)\nReceived: from jalapeno [127.0.0.1]\n\tby localhost with IMAP (fetchmail-5.9.0)\n\tfor jm@localhost (single-drop); Tue, 24 Sep 2002 10:47:45 +0100 (IST)\nReceived: from dogma.slashnull.org (localhost [127.0.0.1]) by\n    dogma.slashnull.org (8.11.6/8.11.6) with ESMTP id g8O80WC26604 for\n    <jm@jmason.org>; Tue, 24 Sep 2002 09:00:33 +0100\nMessage-Id: <200209240800.g8O80WC26604@dogma.slashnull.org>\nTo: yyyy@example.com\nFrom: scripting <rssfeeds@example.com>\nSubject: Gold Lake Mountain Resort looks pretty gooood. Man there are a\n    lot of cool\nDate: Tue, 24 Sep 2002 08:00:32 -0000\nContent-Type: text/plain; encoding=utf-8\nX-Spam-Status: No, hits=0.0 required=5.0\n\ttests=none\n\tversion=2.50-cvs\nX-Spam-Level: \n\nURL: http://scriptingnews.userland.com/backissues/2002/09/23#When:12:00:00AM\nDate: 1/1/1904; 12:00:00 AM\n\nGold Lake Mountain Resort[1] looks pretty gooood. Man there are a lot of cool \nrelaxing places to stay in Colorado. Keep the suggestions coming. \n\n[1] http://www.goldlake.com/\n\n\n'",0.0,gold lake mountain resort look pretti gooood man lot cool,url number number amgold lake mountain look pretti gooood man lot cool relax place stay colorado keep suggest come number
"b'From rpm-list-admin@freshrpms.net  Mon Sep  9 17:58:20 2002\nReturn-Path: <rpm-zzzlist-admin@freshrpms.net>\nDelivered-To: yyyy@localhost.example.com\nReceived: from localhost (jalapeno [127.0.0.1])\n\tby jmason.org (Postfix) with ESMTP id 59CE916EFC\n\tfor <jm@localhost>; Mon,  9 Sep 2002 17:58:16 +0100 (IST)\nReceived: from jalapeno [127.0.0.1]\n\tby localhost with IMAP (fetchmail-5.9.0)\n\tfor jm@localhost (single-drop); Mon, 09 Sep 2002 17:58:16 +0100 (IST)\nReceived: from auth02.nl.egwn.net (auth02.nl.egwn.net [193.172.5.4]) by\n    dogma.slashnull.org (8.11.6/8.11.6) with ESMTP id g119YIY15716 for\n    <jm-rpm@jmason.org>; Fri, 1 Feb 2002 09:34:19 GMT\nReceived: from auth02.nl.egwn.net (localhost [127.0.0.1]) by\n    auth02.nl.egwn.net (8.11.6/8.11.6/EGWN) with ESMTP id g119X1310603;\n    Fri, 1 Feb 2002 10:33:01 +0100\nReceived: from python (gw01.es3.egwn.net [212.9.66.13]) (authenticated) by\n    auth02.nl.egwn.net (8.11.6/8.11.6/EGWN) with ESMTP id g119WR310365 for\n    <rpm-list@freshrpms.net>; Fri, 1 Feb 2002 10:32:27 +0100\nFrom: Matthias Saou <matthias@egwn.net>\nTo: rpm-zzzlist@freshrpms.net\nSubject: Re: Please help a newbie compile mplayer :-)\nMessage-Id: <20020201102923.3bfb81dc.matthias@egwn.net>\nIn-Reply-To: <3C5A5978.80500@shaw.ca>\nReferences: <3C5A2B2E.9050400@shaw.ca>\n    <1012546426.21971.5.camel@localhost.localdomain> <3C5A5978.80500@shaw.ca>\nOrganization: Electronic Group Interactive\nX-Mailer: Sylpheed version 0.7.0claws5 (GTK+ 1.2.10; i386-redhat-linux)\nReply-BY: Tue, 24 Jul 2000 19:02:00 +1000\nX-Operating-System: GNU/Linux power!\nX-Message-Flag: Try using a real operating system : GNU/Linux power!\nMIME-Version: 1.0\nContent-Type: text/plain; charset=US-ASCII\nContent-Transfer-Encoding: 7bit\nSender: rpm-zzzlist-admin@freshrpms.net\nErrors-To: rpm-zzzlist-admin@freshrpms.net\nX-Beenthere: rpm-zzzlist@freshrpms.net\nX-Mailman-Version: 2.0.1\nPrecedence: bulk\nReply-To: rpm-zzzlist@freshrpms.net\nList-Help: <mailto:rpm-zzzlist-request@freshrpms.net?subject=help>\nList-Post: <mailto:rpm-zzzlist@freshrpms.net>\nList-Subscribe: <http://lists.freshrpms.net/mailman/listinfo/rpm-zzzlist>,\n    <mailto:rpm-list-request@freshrpms.net?subject=subscribe>\nList-Id: Freshrpms RPM discussion list <rpm-zzzlist.freshrpms.net>\nList-Unsubscribe: <http://lists.freshrpms.net/mailman/listinfo/rpm-zzzlist>,\n    <mailto:rpm-list-request@freshrpms.net?subject=unsubscribe>\nList-Archive: <http://lists.freshrpms.net/pipermail/rpm-zzzlist/>\nX-Original-Date: Fri, 1 Feb 2002 10:29:23 +0100\nDate: Fri, 1 Feb 2002 10:29:23 +0100\nX-Spam-Status: No, hits=-15.8 required=7.0\n\ttests=AWL,IN_REP_TO,KNOWN_MAILING_LIST,NOSPAM_INC,\n\t      QUOTED_EMAIL_TEXT,REFERENCES,SIGNATURE_LONG_SPARSE,\n\t      SPAM_PHRASE_03_05\n\tversion=2.50-cvs\nX-Spam-Level: \n\nOnce upon a time, rob wrote :\n\n>  I dl\'d gcc3 and libgcc3, but I still get the same error message when I \n> try rpm --rebuild or recompile. I do this as root, I dl\'d as root also.\n> \n> thanks for the help, any more idea what\'s going on?\n\nI\'ve never installed source rpms with apt, but I suppose that if you get\nfile not found, it\'s because the source rpm was installed. To see if this\nis the case, go to /usr/src/redhat/SPECS/ and if you see mplayer.spec,\nyou\'ll just need to do ""rpm -bb mplayer.spec"" to get a binary build in\n/usr/src/redhat/RPMS/i386/\n\nMatthias\n\n-- \nMatthias Saou                                World Trade Center\n-------------                                Edificio Norte 4 Planta\nSystem and Network Engineer                  08039 Barcelona, Spain\nElectronic Group Interactive                 Phone : +34 936 00 23 23\n\n_______________________________________________\nRPM-List mailing list <RPM-List@freshrpms.net>\nhttp://lists.freshrpms.net/mailman/listinfo/rpm-list\n\n'",0.0,pleas help newbi compil mplayer,upon time rob wrote dl'd gccnumber still get error messag tri rpm rebuild recompil root dl'd root also thank help idea what' go oni'v never instal sourc rpm apt suppos getfil found sourc rpm instal see thisi case go see 'll need rpm bb mplayerspec get binari build matthia saou world trade center edificio nort number network engin number barcelona group interact phone number number number number mail list
"b'From exmh-workers-admin@redhat.com  Fri Aug 23 11:07:16 2002\nReturn-Path: <exmh-workers-admin@example.com>\nDelivered-To: yyyy@localhost.netnoteinc.com\nReceived: from localhost (localhost [127.0.0.1])\n\tby phobos.labs.netnoteinc.com (Postfix) with ESMTP id 4561444157\n\tfor <jm@localhost>; Fri, 23 Aug 2002 06:05:48 -0400 (EDT)\nReceived: from phobos [127.0.0.1]\n\tby localhost with IMAP (fetchmail-5.9.0)\n\tfor jm@localhost (single-drop); Fri, 23 Aug 2002 11:05:48 +0100 (IST)\nReceived: from listman.example.com (listman.example.com [66.187.233.211]) by\n    dogma.slashnull.org (8.11.6/8.11.6) with ESMTP id g7N6LtZ13075 for\n    <jm-exmh@jmason.org>; Fri, 23 Aug 2002 07:21:59 +0100\nReceived: from listman.example.com (localhost.localdomain [127.0.0.1]) by\n    listman.redhat.com (Postfix) with ESMTP id 61ECC3F134; Fri, 23 Aug 2002\n    02:22:02 -0400 (EDT)\nDelivered-To: exmh-workers@listman.example.com\nReceived: from int-mx1.corp.example.com (int-mx1.corp.example.com\n    [172.16.52.254]) by listman.redhat.com (Postfix) with ESMTP id 57D393F134\n    for <exmh-workers@listman.redhat.com>; Fri, 23 Aug 2002 02:21:07 -0400\n    (EDT)\nReceived: (from mail@localhost) by int-mx1.corp.example.com (8.11.6/8.11.6)\n    id g7N6L4B00352 for exmh-workers@listman.redhat.com; Fri, 23 Aug 2002\n    02:21:04 -0400\nReceived: from mx1.example.com (mx1.example.com [172.16.48.31]) by\n    int-mx1.corp.redhat.com (8.11.6/8.11.6) with SMTP id g7N6L4Y00348 for\n    <exmh-workers@redhat.com>; Fri, 23 Aug 2002 02:21:04 -0400\nReceived: from ratree.psu.ac.th ([202.28.97.6]) by mx1.example.com\n    (8.11.6/8.11.6) with SMTP id g7N66Ml10260 for <exmh-workers@redhat.com>;\n    Fri, 23 Aug 2002 02:06:27 -0400\nReceived: from delta.cs.mu.OZ.AU (delta.coe.psu.ac.th [172.30.0.98]) by\n    ratree.psu.ac.th (8.11.6/8.11.6) with ESMTP id g7N6KIl10577 for\n    <exmh-workers@redhat.com>; Fri, 23 Aug 2002 13:20:23 +0700 (ICT)\nReceived: from munnari.OZ.AU (localhost [127.0.0.1]) by delta.cs.mu.OZ.AU\n    (8.11.6/8.11.6) with ESMTP id g7N6KBW21590 for <exmh-workers@redhat.com>;\n    Fri, 23 Aug 2002 13:20:11 +0700 (ICT)\nFrom: Robert Elz <kre@munnari.OZ.AU>\nTo: exmh-workers@example.com\nSubject: Re: Anolther sequence related traceback\nIn-Reply-To: <16323.1030043119@munnari.OZ.AU>\nReferences: <16323.1030043119@munnari.OZ.AU>\nMIME-Version: 1.0\nContent-Type: text/plain; charset=us-ascii\nMessage-Id: <21588.1030083611@munnari.OZ.AU>\nX-Loop: exmh-workers@example.com\nSender: exmh-workers-admin@example.com\nErrors-To: exmh-workers-admin@example.com\nX-Beenthere: exmh-workers@example.com\nX-Mailman-Version: 2.0.1\nPrecedence: bulk\nList-Help: <mailto:exmh-workers-request@example.com?subject=help>\nList-Post: <mailto:exmh-workers@example.com>\nList-Subscribe: <https://listman.example.com/mailman/listinfo/exmh-workers>,\n    <mailto:exmh-workers-request@redhat.com?subject=subscribe>\nList-Id: Discussion list for EXMH developers <exmh-workers.example.com>\nList-Unsubscribe: <https://listman.example.com/mailman/listinfo/exmh-workers>,\n    <mailto:exmh-workers-request@redhat.com?subject=unsubscribe>\nList-Archive: <https://listman.example.com/mailman/private/exmh-workers/>\nDate: Fri, 23 Aug 2002 13:20:11 +0700\nX-Pyzor: Reported 0 times.\nX-Spam-Status: No, hits=-7.1 required=7.0\n\ttests=IN_REP_TO,KNOWN_MAILING_LIST,REFERENCES,SPAM_PHRASE_01_02,\n\t      X_LOOP\n\tversion=2.40-cvs\nX-Spam-Level: \n\n    Date:        Fri, 23 Aug 2002 02:05:19 +0700\n    From:        Robert Elz <kre@munnari.oz.au>\n    Message-ID:  <16323.1030043119@munnari.OZ.AU>\n\nWhen I said ...\n\n  | This is from today\'s cvs\n\nthat will translate as  ""yesterday\'s"" now of course (before the most\nrecent set of changes (catchup speedups, and so on)).\n\nkre\n\n\n\n_______________________________________________\nExmh-workers mailing list\nExmh-workers@redhat.com\nhttps://listman.redhat.com/mailman/listinfo/exmh-workers\n\n'",0.0,anolth sequenc relat traceback,date fri number aug number number number robert elz messageid said today' cvsthat translat yesterday' cours mostrec set chang catchup speedup mail
"b""From fork-admin@xent.com  Fri Aug 23 11:08:39 2002\nReturn-Path: <fork-admin@xent.com>\nDelivered-To: zzzz@localhost.netnoteinc.com\nReceived: from localhost (localhost [127.0.0.1])\n\tby phobos.labs.netnoteinc.com (Postfix) with ESMTP id 7EC734415F\n\tfor <zzzz@localhost>; Fri, 23 Aug 2002 06:06:50 -0400 (EDT)\nReceived: from phobos [127.0.0.1]\n\tby localhost with IMAP (fetchmail-5.9.0)\n\tfor zzzz@localhost (single-drop); Fri, 23 Aug 2002 11:06:50 +0100 (IST)\nReceived: from xent.com ([64.161.22.236]) by dogma.slashnull.org\n    (8.11.6/8.11.6) with ESMTP id g7ML7TZ24823 for <zzzz@example.com>;\n    Thu, 22 Aug 2002 22:07:30 +0100\nReceived: from lair.xent.com (localhost [127.0.0.1]) by xent.com (Postfix)\n    with ESMTP id 4DC062940EE; Thu, 22 Aug 2002 14:05:09 -0700 (PDT)\nDelivered-To: fork@example.com\nReceived: from argote.ch (argote.ch [80.65.224.17]) by xent.com (Postfix)\n    with ESMTP id 2CC18294099 for <fork@xent.com>; Thu, 22 Aug 2002 14:04:34\n    -0700 (PDT)\nReceived: by argote.ch (Postfix, from userid 500) id D7039C44E;\n    Thu, 22 Aug 2002 22:58:34 +0200 (CEST)\nTo: fork@example.com\nSubject: Entrepreneurs\nMessage-Id: <20020822205834.D7039C44E@argote.ch>\nFrom: harley@argote.ch (Robert Harley)\nSender: fork-admin@xent.com\nErrors-To: fork-admin@xent.com\nX-Beenthere: fork@example.com\nX-Mailman-Version: 2.0.11\nPrecedence: bulk\nList-Help: <mailto:fork-request@xent.com?subject=help>\nList-Post: <mailto:fork@example.com>\nList-Subscribe: <http://xent.com/mailman/listinfo/fork>, <mailto:fork-request@xent.com?subject=subscribe>\nList-Id: Friends of Rohit Khare <fork.xent.com>\nList-Unsubscribe: <http://xent.com/mailman/listinfo/fork>,\n    <mailto:fork-request@xent.com?subject=unsubscribe>\nList-Archive: <http://xent.com/pipermail/fork/>\nDate: Thu, 22 Aug 2002 22:58:34 +0200 (CEST)\n\nAn apparent quote from Dubya, from the Times (sent to me by my Dad):\n\nhttp://www.timesonline.co.uk/printFriendly/0,,1-43-351083,00.html\n\n------------------------------------------------------------------------------\nTONY BLAIR's special relationship with George W. Bush is under\nconsiderable strain. Not only do the two disagree on Yassir Arafat's\ntenure as leader of the Palestinian Authority, but Blair has started\ntelling disparaging anecdotes about the President.\n\nBaroness Williams of Crosby recalled a story told to her by 'my good\nfriend Tony Blair' recently in Brighton. Blair, Bush and Jacques\nChirac were discussing economics and, in particular, the decline of\nthe French economy. 'The problem with the French,' Bush confided in\nBlair, 'is that they don't have a word for entrepreneur.'\n------------------------------------------------------------------------------\n\nR\nhttp://xent.com/mailman/listinfo/fork\n\n""",0.0,,appar quot dubya time sent blair' special georg w bush strain two disagre yassir arafat'stenur leader palestinian author blair disparag anecdot william crosbi recal stori told 'mi goodfriend toni blair' recent brighton blair bush discuss econom particular declin ofth french economi 'the problem french' bush confid inblair 'i word '
"b""From rssfeeds@jmason.org  Tue Oct  1 10:36:43 2002\nReturn-Path: <rssfeeds@example.com>\nDelivered-To: yyyy@localhost.example.com\nReceived: from localhost (jalapeno [127.0.0.1])\n\tby jmason.org (Postfix) with ESMTP id 02A7A16F19\n\tfor <jm@localhost>; Tue,  1 Oct 2002 10:36:20 +0100 (IST)\nReceived: from jalapeno [127.0.0.1]\n\tby localhost with IMAP (fetchmail-5.9.0)\n\tfor jm@localhost (single-drop); Tue, 01 Oct 2002 10:36:20 +0100 (IST)\nReceived: from dogma.slashnull.org (localhost [127.0.0.1]) by\n    dogma.slashnull.org (8.11.6/8.11.6) with ESMTP id g91811K15508 for\n    <jm@jmason.org>; Tue, 1 Oct 2002 09:01:01 +0100\nMessage-Id: <200210010801.g91811K15508@dogma.slashnull.org>\nTo: yyyy@example.com\nFrom: fark <rssfeeds@example.com>\nSubject: Show-and-tell nearly extinct because it might hurt children's\n    feelings\nDate: Tue, 01 Oct 2002 08:01:01 -0000\nContent-Type: text/plain; encoding=utf-8\nX-Spam-Status: No, hits=-586.5 required=5.0\n\ttests=AWL\n\tversion=2.50-cvs\nX-Spam-Level: \n\nURL: http://www.newsisfree.com/click/-2,8423194,1717/\nDate: 2002-10-01T08:34:11+01:00\n\n(St. Petersburg Times)\n\n\n""",0.0,showandtel nearli extinct might hurt children' feel,url petersburg time
"b'From rssfeeds@jmason.org  Sat Oct  5 10:37:30 2002\nReturn-Path: <rssfeeds@example.com>\nDelivered-To: yyyy@localhost.example.com\nReceived: from localhost (jalapeno [127.0.0.1])\n\tby jmason.org (Postfix) with ESMTP id B7F4B16F7E\n\tfor <jm@localhost>; Sat,  5 Oct 2002 10:36:47 +0100 (IST)\nReceived: from jalapeno [127.0.0.1]\n\tby localhost with IMAP (fetchmail-5.9.0)\n\tfor jm@localhost (single-drop); Sat, 05 Oct 2002 10:36:47 +0100 (IST)\nReceived: from dogma.slashnull.org (localhost [127.0.0.1]) by\n    dogma.slashnull.org (8.11.6/8.11.6) with ESMTP id g9580uK02611 for\n    <jm@jmason.org>; Sat, 5 Oct 2002 09:00:56 +0100\nMessage-Id: <200210050800.g9580uK02611@dogma.slashnull.org>\nTo: yyyy@example.com\nFrom: newscientist <rssfeeds@example.com>\nSubject: Amorous ostriches scoop Ig Nobel prize\nDate: Sat, 05 Oct 2002 08:00:56 -0000\nContent-Type: text/plain; encoding=utf-8\nX-Spam-Status: No, hits=-857.7 required=5.0\n\ttests=AWL,T_NONSENSE_FROM_40_50\n\tversion=2.50-cvs\nX-Spam-Level: \n\nURL: http://www.newsisfree.com/click/-5,8553540,1440/\nDate: Not supplied\n\nResearch on scrotal asymmetry and the surface area of elephants were among \nother recipients of the 2002 spoof awards\n\n\n'",0.0,amor ostrich scoop ig nobel prize,url scrotal asymmetri surfac area eleph among recipi number spoof award
"b'From rssfeeds@jmason.org  Tue Oct  1 10:37:11 2002\nReturn-Path: <rssfeeds@example.com>\nDelivered-To: yyyy@localhost.example.com\nReceived: from localhost (jalapeno [127.0.0.1])\n\tby jmason.org (Postfix) with ESMTP id D4B7816F19\n\tfor <jm@localhost>; Tue,  1 Oct 2002 10:37:07 +0100 (IST)\nReceived: from jalapeno [127.0.0.1]\n\tby localhost with IMAP (fetchmail-5.9.0)\n\tfor jm@localhost (single-drop); Tue, 01 Oct 2002 10:37:07 +0100 (IST)\nReceived: from dogma.slashnull.org (localhost [127.0.0.1]) by\n    dogma.slashnull.org (8.11.6/8.11.6) with ESMTP id g9181KK15597 for\n    <jm@jmason.org>; Tue, 1 Oct 2002 09:01:20 +0100\nMessage-Id: <200210010801.g9181KK15597@dogma.slashnull.org>\nTo: yyyy@example.com\nFrom: fark <rssfeeds@example.com>\nSubject: Family refuses to cancel expensive wedding just because the groom\n    was in a coma and got his brother to stand-in instead\nDate: Tue, 01 Oct 2002 08:01:20 -0000\nContent-Type: text/plain; encoding=utf-8\nX-Spam-Status: No, hits=-628.6 required=5.0\n\ttests=AWL\n\tversion=2.50-cvs\nX-Spam-Level: \n\nURL: http://www.newsisfree.com/click/-1,8406748,1717/\nDate: 2002-09-30T20:19:09+01:00\n\n(Some Guy)\n\n\n'",0.0,famili refus cancel expens wed groom coma got brother standin instead,url guy
"b'From rssfeeds@jmason.org  Thu Sep 26 11:03:00 2002\nReturn-Path: <rssfeeds@example.com>\nDelivered-To: yyyy@localhost.example.com\nReceived: from localhost (jalapeno [127.0.0.1])\n\tby jmason.org (Postfix) with ESMTP id 734EE16F03\n\tfor <jm@localhost>; Thu, 26 Sep 2002 11:03:00 +0100 (IST)\nReceived: from jalapeno [127.0.0.1]\n\tby localhost with IMAP (fetchmail-5.9.0)\n\tfor jm@localhost (single-drop); Thu, 26 Sep 2002 11:03:00 +0100 (IST)\nReceived: from dogma.slashnull.org (localhost [127.0.0.1]) by\n    dogma.slashnull.org (8.11.6/8.11.6) with ESMTP id g8Q81uC06496 for\n    <jm@jmason.org>; Thu, 26 Sep 2002 09:01:56 +0100\nMessage-Id: <200209260801.g8Q81uC06496@dogma.slashnull.org>\nTo: yyyy@example.com\nFrom: boingboing <rssfeeds@example.com>\nSubject: Labels shoot selves in foot by focusing on stopping P2P\nDate: Thu, 26 Sep 2002 08:01:55 -0000\nContent-Type: text/plain; encoding=utf-8\nX-Spam-Status: No, hits=0.0 required=5.0\n\ttests=AWL\n\tversion=2.50-cvs\nX-Spam-Level: \n\nURL: http://boingboing.net/#85490404\nDate: Not supplied\n\nA new KPMG study concludes that the RIAA and its member companies are hurting \nthemselves by focusing on cracking down on P2P sharing instead of figuring out \nways to earn a living with it. \n\n    Media companies must put less emphasis on protecting digital content and \n    instead find ways to make money from digital music and movies if they hope \n    to beat back copyright pirates who threaten their businesses, according to \n    a study released on Wednesday from KPMG... \n\n    ""They complain about the Napsters,"" she said, referring to the bankrupt \n    music swap site that was found to violate U.S. copyright laws. ""But why do \n    the Napsters exist, because the marketplace wants them."" \n\n    Steel said that if the issue ""is not on boardroom table ... then that \n    boardroom has problems.""  \n\nLink[1] Discuss[2] (_Thanks, Michael!_)\n\n[1] http://story.news.yahoo.com/news?tmpl=story&ncid=581&e=3&cid=581&u=/nm/20020925/tc_nm/media_kpmg_dc\n[2] http://www.quicktopic.com/boing/H/cyfuTEBbTuVRG\n\n\n'",0.0,label shoot selv foot focus stop pnumberp,url supplieda new kpmg studi conclud riaa member compani hurt focus crack pnumberp share instead figur way earn live media compani must put less emphasi protect digit content instead find way make money digit music movi hope beat back copyright pirat threaten busi accord studi releas wednesday kpmg complain napster said refer bankrupt music swap site found violat us copyright law napster exist marketplac want steel said issu boardroom tabl boardroom problem linknumb thank
"b'From rssfeeds@jmason.org  Mon Oct  7 12:05:21 2002\nReturn-Path: <rssfeeds@example.com>\nDelivered-To: yyyy@localhost.example.com\nReceived: from localhost (jalapeno [127.0.0.1])\n\tby jmason.org (Postfix) with ESMTP id 6C8AD16F79\n\tfor <jm@localhost>; Mon,  7 Oct 2002 12:03:59 +0100 (IST)\nReceived: from jalapeno [127.0.0.1]\n\tby localhost with IMAP (fetchmail-5.9.0)\n\tfor jm@localhost (single-drop); Mon, 07 Oct 2002 12:03:59 +0100 (IST)\nReceived: from dogma.slashnull.org (localhost [127.0.0.1]) by\n    dogma.slashnull.org (8.11.6/8.11.6) with ESMTP id g9780eK23245 for\n    <jm@jmason.org>; Mon, 7 Oct 2002 09:00:40 +0100\nMessage-Id: <200210070800.g9780eK23245@dogma.slashnull.org>\nTo: yyyy@example.com\nFrom: gamasutra <rssfeeds@example.com>\nSubject: Shooting from the Hip: An Interview with Hip Tanaka\nDate: Mon, 07 Oct 2002 08:00:39 -0000\nContent-Type: text/plain; encoding=utf-8\nX-Spam-Status: No, hits=-933.6 required=5.0\n\ttests=AWL,T_NONSENSE_FROM_40_50\n\tversion=2.50-cvs\nX-Spam-Level: \n\nURL: http://www.newsisfree.com/click/-0,8613662,159/\nDate: 2002-10-06T18:12:58+01:00\n\nIn 1986, we in the U.S. were playing the Nintendo Entertainment System (known \nas the Famicom in Japan), and roughly a third of the music for its first set of \ngames was written by Hirokazu ""Hip"" Tanaka, then with Nintendo Co. Ltd.He has \nwritten music for countless other games as well as designing the Game Boy \nCamera and Printer, and also scored the soundtrack to the Pokemon TV series. \nAlexander Brandon catches up with the legendary composer.\n\n\n'",0.0,shoot hip interview hip tanaka,url number us play nintendo system known famicom japan roughli third music first set game written hirokazu hip tanaka nintendo co ltdhe written music countless game well design game boy camera printer also score soundtrack pokemon tv seri alexand brandon catch legendari compos
